기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2025/03,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,618.8251600000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,1995.1815600000004
2025/03,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,87.54328000000001,0,2.31,0,5,0,3.25,1230.99528
2025/03,합계,합계,합계,소계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1183.1719999999993,346.33,27901.12360200231,2263.3716999999997,1812.9464,254.58,1844.942,0,448.61499999999995,153904.6476020023
2025/02,합계,합계,합계,서울,0,0,0,0,802.346,0,87.22999999999999,0,47.68559500000002,0,0,0,5.8,0,27.950000000000003,971.0115949999999
2025/02,합계,합계,합계,부산,4550,19,0,0,1845.836,0,40.480000000000004,0,260.38240999999994,0.762,0.02,0,4.574,0,33.9,6754.95441
2025/02,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,371.09447100000006,0,3.56,0,4.5,0,9.9,1106.7644710000002
2025/02,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,255.42500000000004,0,156.57487499999996,49,12.599,0,76.33,0,30.78,14273.685875
2025/02,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,343.9595659999998,0,1.83,0,2.12,0,3.96,488.1505659999998
2025/02,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,63.25719999999998,0,0,0,0.099,0,88,206.82119999999998
2025/02,합계,합계,합계,울산,2800,0,0,0,3619.3,0,45.658,0,136.2966000000002,0,0.3,0,0,0,18.2,6619.7546
2025/02,합계,합계,합계,경기,0,253.35500000000002,0,39.35,17587.717,400,296.09000000000003,0,1906.265241000009,5.271,275.954,254,62.522999999999996,0,51.45499999999999,21131.98024100001
2025/02,합계,합계,합계,강원,0,7414,400,0,1279.2,1000,98.49600000000001,0,1907.6410430000437,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,13582.065043000046
2025/02,합계,합계,합계,충북,0,0,0,0,270,0,59.400000000000006,0,1531.5594790000353,0,518.644,0,2.66,0,51.297,2433.5604790000352
2025/02,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3685.5973429999694,2,32.251,0,383.56,0,9.39,27465.966342999975
2025/02,합계,합계,합계,전북,0,445.369,0,7.490000000000001,718.4000000000001,600,15.42,0,4536.509022000328,79.5,78.91699999999999,0,477.812,0,14.535,6973.952022000329
2025/02,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,6082.749140000031,454.87499999999994,36.676,0.08,2.229,0,22.869999999999997,15950.60804000003
2025/02,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,66.988,0,3812.41467799997,578.0097,179.95499999999998,0,1.5,0,38.935,19414.00237799997
2025/02,합계,합계,합계,경남,0,8200,0,27.19,1130.972,1300,9.315,0,1947.7025050000316,101.78599999999999,145.469,0,14.86,0,6.783,12884.077505000032
2025/02,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,616.1984250000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,1992.5548250000004
2025/02,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,83.47096000000002,0,2.31,0,5,0,3.25,1226.92296
2025/02,합계,합계,합계,소계,26050,40867.882,400,627.6999999999999,45203.85599999999,4700,1163.3719999999994,346.33,27489.358553002417,2263.3716999999997,1814.3964,254.58,1846.482,0,449.37499999999994,153476.8325530024
2025/01,합계,합계,합계,서울,0,0,0,0,802.346,0,86.89999999999999,0,47.68559500000002,0,0,0,5.8,0,27.950000000000003,970.681595
2025/01,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,260.38240999999994,0.762,0.02,0,4.574,0,33.9,6754.95441
2025/01,합계,합계,합계,대구,0,72.9,0,0,640.7,0,4.11,0,370.69505100000003,0,3.56,0,4.5,0,9.9,1106.365051
